區域別,年底人口數,土地面積,人口密度,年度人口數
嘉義縣阿里山鄉,5304,427.8471,12,5304
屏東縣屏東市,193810,65.067,2979,193810
屏東縣潮州鎮,53325,42.4331,1257,53325
屏東縣東港鎮,45946,29.4635,1559,45946
屏東縣恆春鎮,29747,136.763,218,29747
屏東縣萬丹鄉,49252,57.4679,857,49252
屏東縣長治鄉,29190,39.8861,732,29190
屏東縣麟洛鄉,10544,16.26,648,10544
屏東縣九如鄉,21639,42.0187,515,21639
屏東縣里港鄉,25623,68.9208,372,25623
屏東縣鹽埔鄉,23976,64.3493,373,23976
屏東縣高樹鄉,22764,90.1522,253,22764
屏東縣萬巒鄉,19239,60.7315,317,19239
屏東縣內埔鄉,52501,81.8554,641,52501
屏東縣竹田鄉,15807,29.0732,544,15807
屏東縣新埤鄉,9353,59.0102,158,9353
屏東縣枋寮鄉,22757,57.7347,394,22757
屏東縣新園鄉,32674,38.3109,853,32674
屏東縣崁頂鄉,15245,31.2659,488,15245
屏東縣林邊鄉,16449,15.6233,1053,16449
屏東縣南州鄉,9882,18.97,521,9882
屏東縣佳冬鄉,17888,30.9842,577,17888
屏東縣琉球鄉,12265,6.8018,1803,12265
屏東縣車城鄉,8029,49.8517,161,8029
屏東縣滿州鄉,7235,142.2013,51,7235
屏東縣枋山鄉,5013,17.2697,290,5013
屏東縣三地門鄉,7742,196.3965,39,7742
屏東縣霧臺鄉,3265,278.796,12,3265
屏東縣瑪家鄉,6749,78.7008,86,6749
屏東縣泰武鄉,5291,118.6266,45,5291
屏東縣來義鄉,7390,167.7756,44,7390
屏東縣春日鄉,4874,160.001,30,4874
屏東縣獅子鄉,4777,301.0018,16,4777
屏東縣牡丹鄉,4756,181.8366,26,4756
臺東縣臺東市,103281,109.7691,941,103281
臺東縣成功鎮,13078,143.9939,91,13078
臺東縣關山鎮,8052,58.7351,137,8052
臺東縣卑南鄉,16601,412.6871,40,16601
臺東縣大武鄉,5553,69.1454,80,5553
臺東縣太麻里鄉,10679,96.6523,110,10679
臺東縣東河鄉,7896,210.1908,38,7896
臺東縣長濱鄉,6649,155.1868,43,6649
臺東縣鹿野鄉,7193,89.698,80,7193
臺東縣池上鄉,7858,82.6854,95,7858
臺東縣綠島鄉,4373,15.0919,290,4373
臺東縣延平鄉,3567,455.8805,8,3567
臺東縣海端鄉,4275,880.0382,5,4275
臺東縣達仁鄉,3439,306.4454,11,3439
臺東縣金峰鄉,3732,380.6635,10,3732
臺東縣蘭嶼鄉,5318,48.3892,110,5318
花蓮縣花蓮市,99043,29.4095,3368,99043
花蓮縣鳳林鎮,10435,120.5181,87,10435
花蓮縣玉里鎮,22034,252.3719,87,22034
花蓮縣新城鄉,20307,29.4095,690,20307
花蓮縣吉安鄉,83175,65.2582,1275,83175
花蓮縣壽豐鄉,16903,218.4448,77,16903
花蓮縣光復鄉,11739,157.11,75,11739
花蓮縣豐濱鄉,4213,162.4332,26,4213
花蓮縣瑞穗鄉,10755,135.5862,79,10755
花蓮縣富里鄉,9627,176.3705,55,9627
花蓮縣秀林鄉,17200,1641.8555,10,17200
花蓮縣萬榮鄉,6085,618.491,10,6085
花蓮縣卓溪鄉,5973,1021.313,6,5973
澎湖縣馬公市,63957,33.9918,1882,63957
澎湖縣湖西鄉,16059,33.3008,482,16059
澎湖縣白沙鄉,10087,20.0875,502,10087
澎湖縣西嶼鄉,8290,18.7148,443,8290
澎湖縣望安鄉,5409,13.7824,392,5409
澎湖縣七美鄉,3937,6.9868,563,3937
基隆市中正區,50646,10.2118,4960,50646
基隆市七堵區,52757,56.2659,938,52757
基隆市暖暖區,38450,22.8283,1684,38450
基隆市仁愛區,41131,4.2335,9716,41131
基隆市中山區,45459,10.5238,4320,45459
基隆市安樂區,80440,18.025,4463,80440
基隆市信義區,53372,10.6706,5002,53372
新竹市東區,223826,33.5768,6666,223826
新竹市北區,153759,15.7267,9777,153759
新竹市香山區,78890,54.8491,1438,78890
嘉義市東區,117993,30.1556,3913,117993
嘉義市西區,145591,29.87,4874,145591
金門縣金城鎮,43192,21.713,1989,43192
金門縣金湖鎮,31269,41.696,750,31269
金門縣金沙鎮,20858,41.19,506,20858
金門縣金寧鄉,35400,29.854,1186,35400
金門縣烈嶼鄉,12766,16.003,798,12766
金門縣烏坵鄉,664,1.2,553,664
連江縣南竿鄉,7827,10.4,753,7827
連江縣北竿鄉,3136,9.9,317,3136
連江縣莒光鄉,1504,4.7,320,1504
連江縣東引鄉,1572,3.8,414,1572
東沙群島,… ,2.38,0,0
南沙群島,… ,0.5045,0,0
